identifiant	nom	appellation	datation/0	commune	departement	insee	code_departement	localisation/lon	localisation/lat	appartient_a	materiau_du_gros_oeuvre	auteur	historique_du_batiment_ou_de_l_oeuvre	description_du_batiment	type_de_protection	chercheur/0	copyright	chercheur/1	chercheur/2	chercheur/3
IA17047185	Pont ferroviaire	pont	3e quart 19e siècle	Charente-Maritime	Vendée	17	85	-0.9579330787020855	46.320964965358534		parement		Le pont a été construit en même temps que la ligne de chemin de fer La Rochelle / La Roche-sur-Yon, ouverte en 1871. A l'origine, une seule des deux piles du pont était en eau, mais l'élargissement de la Sèvre en 1925 a mis l'arche sèche en eau. Dynamité par les troupes allemandes lors de leur repli, le 11 septembre 1944, le pont a été reconstruit à l'identique par la suite.	Long de 80 mètres, le pont repose sur quatre piles en pierre, dont une sur chaque rive de la Sèvre et deux au milieu du fleuve. Chaque pile est couverte d'un parement en pierre de taille. Le tablier et les garde-corps du pont sont en métal riveté.		Yannis Suire	(c) Région Nouvelle-Aquitaine, Inventaire général du patrimoine culturel			
IA17047186	Passerelle de Rouillebouc	passerelle	4e quart 19e siècle	Marans	Charente-Maritime	17218	17	-0.9560620412442343	46.32077626963404			Eugène Espitallier	Le creusement du canal de Pomère en 1839 puis ses élargissements successifs facilitent la navigation, d'où la nécessité de bénéficier de chemins et passerelles de halage sur ses rives. Un plan de la tête aval du canal en 1870 montre qu'un bateau à chaîne permet alors de franchir la Vieille Sèvre à Rouillebouc, mais ce système est peu pratique. Le projet de passerelle à construire à chacune des deux extrémités du canal de Pomère (à Rouillebouc, entre L'Île-d'Elle et Marans, et à la Choletière, entre Saint-Jean-de-Liversay et L'Île-d'Elle) est présenté le 10 juillet 1873 par l'ingénieur ordinaire des Ponts et chaussées Espitallier, et approuvé le 11 novembre suivant. Les travaux, menés en régie par les Ponts et chaussées, ont lieu en 1875-1876 : les batardeaux pour la première passerelle sont construits en avril 1875, ceux de la seconde passerelle en août 1876. La partie métallique et la charpente des tabliers sont fournies par Alfred Cayer, serrurier à Niort ; la maçonnerie et la charpente des fondations sont réalisées par Alexis Boutin, de Taugon. Les travaux sont réceptionnés le 31 décembre 1877.	Longue de 43 mètres, la passerelle enjambe le lit de la Vieille Sèvre Niortaise, permettant la continuité du chemin de halage qui longe la rive gauche du canal de Pomère puis de la Sèvre Niortaise. Le tablier, en bois goudronné, possède un garde-corps métallique. L'ensemble repose sur deux culées et quatre piles en pierre de taille, reliées par une charpente en métal. Deux rampes prolongent la passerelle sur les deux rives.		Yannis Suire	(c) Région Nouvelle-Aquitaine, Inventaire général du patrimoine culturel;(c) Centre vendéen de recherches historiques;(c) Région Pays de la Loire - Inventaire général			
IA17048020	Passerelle	passerelle	4e quart 19e siècle	La Ronde	Charente-Maritime	17303	17	-0.7760351859474472	46.31860005820098				Une première passerelle est construite là à l'occasion de la création du barrage éclusé de la Vieille Sèvre, en 1858. En plus de l'autre passerelle enjambant ce barrage, et d'une troisième sur le Vieux Béjou, l'objectif est de permettre la continuité du chemin de halage sur la rive gauche de la Sèvre Niortaise. Le projet en est en tout cas présenté le 20 septembre 1855 par l'ingénieur en chef Joseph Maire, qui a conçu par ailleurs le barrage éclusé sur la Vieille Sèvre. Il propose une passerelle en bois constituée de deux rampes et d'une partie centrale droite, laquelle sera en partie tournante pour laisser passer les bateaux. Cette passerelle, sans doute réalisée en même temps que le barrage éclusé de la Vieille Sèvre en 1858, apparaît sur un plan du site de Bazoin établi par l'ingénieur Espitallier le 4 octobre 1865 dans le cadre d'un projet de construction d'une maison éclusière.Cette première passerelle en partie tournante, donc peu pratique, a probablement été remplacée à la fin du 19e siècle par un ouvrage à tablier droit en métal reposant sur des culées et une pile centrale en maçonnerie, le tout fixe et plus élevé que le précédent ouvrage. C'est cette passerelle qui apparaît sur des cartes postales au début du 20e siècle. Elle a été restaurée en 2018, sous maîtrise d'ouvrage du Département de la Charente-Maritime, par délégation de l'IIBSN. Son tablier a été reconstruit presque à l'identique.	La passerelle franchit la Sèvre Niortaise juste en aval de sa confluence avec le Nouveau et le Vieux Béjou, reliant l'îlot central du barrage éclusé de la Vieille Sèvre (côté Maillé) et la rive gauche (côté La Ronde). Son tablier en métal repose sur deux culées et une pile centrale en maçonnerie. Les garde-corps sont constitués de croisillons (ils étaient plus bas avant la reconstruction de 2018).		Yannis Suire	(c) Région Nouvelle-Aquitaine, Inventaire général du patrimoine culturel;(c) Centre vendéen de recherches historiques			
IA44004501	Pont de la Jonelière	viaduc	2e quart 20e siècle	Nantes	Loire-Atlantique	44109	44	-1.538985053152262	47.25572005734829			Geoffroy;Charles Dupuy;Albert Caquot	Le pont de la Jonelière, principal ouvrage d'art de la ligne, permet le franchissement de l'Erdre en partie centrale, de la route de la Jonelière côté Châteaubriant et d'un chemin pédestre côté Nantes. Il a été inauguré le 3 août 1948 en remplacement d'un pont métallique dynamité par les allemands en 1944.Le pont métalliqueLe premier pont est conçu en 1875 par M. Geoffroy, ingénieur de la Compagnie d'Orléans, et validé par Charles Dupuy et Louis-Charles Sèvene, ingénieurs du service des Ponts et Chaussées. Les travaux sont réalisés par la compagnie Fives-Lille et Joly. Les archives mentionnent la provenance de quelques matériaux de construction : chaux hydraulique de Paviers près de Tours, sable de Loire, moellons des bords de l'Erdre pour le fourrage et moellons parementés de Pontlevoy dans le Loir-et-Cher.Dès la construction du pont, le conseil d'arrondissement de Nantes et le conseil général de Loire-Inférieure demandent l'aménagement d'une passerelle pour piétons. La Compagnie d'Orléans ne voit pas d'objection mais estime que le coût des travaux ne doit pas lui revenir. En 1905, après délibération, le conseil général vote les crédits nécessaires. La passerelle est inaugurée en 1907. D'une largeur de un mètre, elle est supportée par 29 consoles fixées aux goussets d'encorbellement du viaduc et reliées entre elles à l'aide d'une poutre de rive sur laquelle est fixé le garde-corps. Le platelage, en madriers de chêne, repose sur deux files de cornières fixées l'une à la poutrelle de rive et l'autre à l'intérieur des fers en U du trottoir du viaduc. A chaque extrémité, un escalier est construit : à limons métalliques dans la partie haute fixée à l'arc et en ciment armé du système Hennebique, à trois volées ancrées dans la culée du pont. La voie ferrée est séparée de la voie pour piétons par une clôture.Le pont en béton arméLe pont est dynamité le 11 août 1944 par l'armée allemande. La travée métallique et une partie des arches côté Châteaubriant sont détruites. Sa reconstruction est confiée à l'entreprise L. Monod et à son ingénieur Albert Caquot. Ce dernier s'est rendu célèbre pour ses nombreuses constructions dans le domaine du génie civil mais aussi par la réalisation d'œuvres variées comme en 1931 la structure interne en béton armé de la grande statue du Christ rédempteur sur le Mont Corcovado à Rio de Janeiro. A la Jonelière, il conçoit un pont en béton armé s'appuyant sur les arches maçonnées d'origine. Les travaux débutent en août 1946. Un cintre en bois est construit par moitié sur chaque rive puis descendu à l'aide de treuils. L'intrados est ensuite ferraillé puis bétonné. Six palées en béton sont montées sur l'arc, permettant la mise en place du tablier lui aussi en béton. Le pont est inauguré le 3 août 1948.Les projets d'aménagement liés à la réouverture de la ligne Nantes-ChâteaubriantDans le cadre des travaux de réouverture de la ligne, le tablier a été élargi afin de permettre la circulation des piétons, des deux roues, du tram-train et plus tard du tramway. Les consoles métalliques supportant des dalles préfabriquées en béton ont été fixées dans une longrine béton pour les arches en maçonnerie et dans la structure béton existante, pour l'arc central.	Le pont-rail est constitué d'un arc principal de 95 mètres et de deux viaducs d'accès en maçonnerie, chacun composé de 3 arches de 8 mètres. Le cintre en bois a été construit par moitié sur chaque rive puis descendu à l'aide de treuils. L'intrados a ensuite été ferraillé puis bétonné. 6 palées en béton ont été montées sur l'arc permettant la mise en place du tablier lui aussi en béton. Le tablier supporte 3 voies : ferrée, piétonne et cyclable. Le parapet est en béton. Les arches des viaducs ont été construites en maçonnerie fourrée formée de moellons en fourrure et deux appareils de revêtement en parement légèrement bosselé. Les arches soutenant l'arc portent les traces des agrafes du pont métallique. Deux passerelles en béton et à garde-corps ajourés métalliques sont accolées aux arches côté aval permettant le franchissement du pont par les piétons.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004502	Pont-rail sur l'Hocmard	pont	4e quart 19e siècle	La Chapelle-sur-Erdre	Loire-Atlantique	44035	44	-1.53751460133579	47.31490464389914			Geoffroy Hersent	Le pont-rail sur la rivière l'Hocmard est construit entre le 29 mai 1875 (date de la décision autorisant la construction du pont par la Direction générale des Ponts et Chaussées et des Chemins de fer) et la fin de l'année 1877, sous la direction de l'ingénieur Geoffroy de la Compagnie d'Orléans. Les piles seraient réalisées par l'entreprise Hersent. Il est bombardé par les B17 américains le 24 juillet 1944, afin d'empêcher la remontée vers la Normandie de renforts allemands : destruction de la culée et de la première arche côté Châteaubriant. Les travaux de reconstruction débutent en 1944 pour s'achever en 1946.	Le pont-rail, d'une dimension de 30 mètres, se compose de trois arches maçonnées à voûtes surbaissées appuyées sur deux culées biaises avec des murs en retour. L'arche de la rive gauche permet un passage de 4 m du chemin rural reliant les villages de Naie au petit Naie. La maçonnerie des arches et des piles est fourrée en moellons et recouverte d'un appareil de revêtement en parement bosselé. Le garde-corps est en béton ajouré. La culée de la rive droite est fondée sur le rocher, à 6 mètres de profondeur sous l'étiage, au moyen d'un massif de béton coulé dans une enceinte en charpente. La culée de la rive gauche est fondée à sec et repose directement sur le rocher.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004503	Pont-rail maçonné	pont	4e quart 19e siècle	Sucé-sur-Erdre	Loire-Atlantique	44201	44	-1.5272253381634429	47.388838089947114			Geoffroy	Le pont-rail est construit entre 1875 et 1877 lors de la création de la voie ferrée Nantes-Châteaubriant sous la direction de M. Geoffroy, ingénieur de la Compagnie d'Orléans. Il permet le franchissement du chemin d'exploitation proche de la D69 (point kilométrique : 450.193).	Ce pont-rail est formé d'une voûte en plein cintre large de 4 m et haute de 4,57 m appuyée sur des culées prolongées par des murs de soutènement en aile talutée. La maçonnerie est fourrée de moellons et revêtue par deux types d'appareil : régulier en parement bosselé (voûte et chaînage d'angle) et irrégulier en moellon à tête dressée (mur de soutènement, partie inférieure des culées). Les gardes-corps métalliques sont en tubes soudés.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004504	Pont-rail sur le canal de Nantes à Brest	pont	4e quart 19e siècle	Nort-sur-Erdre	Loire-Atlantique	44110	44	-1.5216500369455292	47.404022016195164			Geoffroy Roussel	Le pont-rail sur le canal de Nantes à Brest (profils 225 et 226) est construit entre le 11 mai 1876 (date de la décision autorisant la construction du pont par la Direction générale des Ponts et Chaussées et des Chemins de fer) et la fin de l'année 1877. Il est conçu par M. Geoffroy, ingénieur de la Compagnie d'Orléans et construit par l'entreprise H. Roussel. Dans le cadre de la réouverture de la ligne Nantes-Châteaubriant et afin de mettre aux normes le franchissement du canal, il a fallu déposer l'ouvrage existant, puis modifier les appuis pour accueillir la nouvelle structure en charpente métallique. Pour des garanties de qualité, les éléments ont été assemblés et soudés en Saône-et-Loire. La structure de 52 tonnes a été acheminée par la route et posée en juillet 2011.	Le pont-rail franchit le chemin de halage (4 m), la banquette de contre-halage (2 m) et la voie navigable. Il est composé d'une seule travée supportée par des poutres latérales hautes en fer puddlé reposant sur des culées en maçonneries. La distance entre les deux culées est de 16,22 m. Les poutres latérales sont reliées par des entretoises et les voûtains en brique. Le pont a été endommagé pendant la Seconde Guerre mondiale et réparé avec des renforts en fer fixés par rivets. La dernière mise en peinture date de 1982. Dans le cadre de la réouverture de la ligne Nantes-Châteaubriant, le pont métallique existant a été remplacé par un pont-rail à poutres latérales. Les culées ont été élargies latéralement par des murs en béton armé solidarisés à la maçonnerie des culées existantes.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004505	Pont-rail en portique dit Pont du Pâtis	pont	4e quart 20e siècle	Sucé-sur-Erdre	Loire-Atlantique	44201	44	-1.532587120158824	47.340767599317836				Le pont-rail est construit en 1996 lors de la création du lotissement du coteau de Saint-Michel (point kilométrique : 444.720).Les piédroits sont recouverts de peintures murales réalisées en 2000 par la MJC de Sucé-sur-Erdre en collaboration avec la mairie et la SNCF.	Ce pont-rail est un pont-portique ouvert en béton armé dit passage inférieur portique ouvert (PIPO). Il a une portée de 14 m et une hauteur libre de 4,30 m. Les murs de soutènement sont réalisés avec des éléments préfabriqués en béton.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004506	Pont-rail à poutres jumelles	pont	4e quart 19e siècle	Nort-sur-Erdre	Loire-Atlantique	44110	44	-1.5037163725616725	47.475521693884865			Geoffroy	Le pont-rail est construit lors de la création de la voie ferrée Nantes-Châteaubriant (entre 1875 et 1877) sous la direction de M. Geoffroy, ingénieur de la Compagnie d'Orléans. Il permet le franchissement du chemin reliant les villages de la Houssais et des Vigneaux (point kilométrique : 460.232). Le tablier a été remplacé en 1963 lors de la campagne de rénovation des ponts-rails à poutres jumelles menée entre 1963 et 1966.	"Ce pont-rail est un pont à travée unique de type ""pont à poutres jumelles"" : chaque rail, posé sur un calage bois, est supporté par les entretoises sous rail, solidaires des deux poutres principales situées de part et d'autre du rail. Ces poutres sont maintenues à des accotements en béton. La portée est de 4,60 m et la hauteur libre de 3,73 m.La structure s'appuie sur deux culées avec des murs en retour. La maçonnerie est fourrée de moellons et revêtue par deux types d'appareil : parement régulier bosselé (chaînage d'angle) et appareil irrégulier à tête dressée (murs de soutènement et murs en retour). Les gardes-corps sont formés de tubes métalliques assemblés par emboîtage ou soudés."		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004507	Pont-rail à poutrelles enrobées dit pont de l'Epine blanche	pont	3e quart 20e siècle	Erbray	Loire-Atlantique	44054	44	-1.3835172754261416	47.689613238890736				Le pont-rail de l'Epine Blanche est construit en 1968 pour franchir l'ancienne route départementale 178 (point kilométrique : 488.616), déviée depuis sous l'ouvrage situé au PK 488.518.	"Ce pont-rail est un pont à travée unique de type ""pont à poutrelles enrobées"". Son tablier se compose de poutrelles métalliques (type IPN) enrobées dans une dalle en béton armé. Sa portée est de 10,30 m et la hauteur libre de 4,17 m. La structure repose sur deux culées biaises avec des murs en retour en pierres de taille calcaires. Les gardes-corps sont formés de tubes métalliques assemblés par emboîtage ou soudés."		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
