identifiant	nom	appellation	datation/0	commune	departement	insee	code_departement	localisation/lon	localisation/lat	appartient_a	materiau_du_gros_oeuvre	auteur	historique_du_batiment_ou_de_l_oeuvre	description_du_batiment	type_de_protection	chercheur/0	copyright	datation/1	datation/2	chercheur/1
IA85003268	Passerelle de halage	passerelle	3e quart 19e siècle	Benet	Deux-Sèvres	85020	79	-0.6481535234097094	46.31712070533414	Benet : présentation de la commune		Eugène Espitallier	"La passerelle a dû être créée dans les années 1860-1870, au moment où, suivant le projet de l'ingénieur en chef Joseph Maire, le cours de la Sèvre Niortaise a été recalibré, élargi et en partie redressé. On a alors mis de côté l'ancien contour de l'Adressoir et repris, en le redressant, un ancien fossé de redressement appelé ""redressement d'Auzeille"". Le projet présenté en ce sens par Maire en 1856, mentionne ainsi la création d'une passerelle de halage à cet endroit. L'architecture de la passerelle rappelle celle d'autres ouvrages du même type dans les environs, par exemple celle proche du pont de l'Ouillette, entre Damvix et Maillé, réalisée en 1868-1869 par l'ingénieur des Ponts et Chaussées Espitallier."	La passerelle suit le chemin de halage sur la rive droite de la Sèvre Niortaise, à la limite entre les communes de Benet (Vendée), à l'ouest, et du Vanneau-Irleau (Deux-Sèvres), à l'est. Elle permet de franchir le canal de contour de l'Adressoir, qui prolonge le bief d'Ambreuil et qui constitue probablement un ancien méandre de la Sèvre, là encore à la frontière entre les deux communes. La passerelle comprend deux culées maçonnées reliées par une travée en charpente métallique, tablier en bois et garde-corps métalliques.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée			
IA85003243	Passerelle du Village de la Sèvre	passerelle	4e quart 19e siècle	Le Mazeau	Deux-Sèvres	85139	79	-0.6670543568386549	46.31668249523271	Le Mazeau : présentation de la commune		Jean-Marc Weill;Alfred Cayer;Isidore Vallée	Cet ouvrage se situait à l'origine au pont d'Irleau, entre les communes du Vanneau-Irleau et de Coulon. C'est là que fut construite la passerelle, en 1891, suivant les plans de Isidore Vallée, agent voyer d'arrondissement, travaux confiés à Alfred Cayer, serrurier constructeur à Niort. Insuffisant pour le trafic routier qui s'y développe à cette époque, la passerelle est remplacée en 1928 par un pont en béton armé. Demeurée quelques années à côté du nouveau pont, mais inutilisée, elle est transférée dans les années 1940 à son emplacement actuel. Le 11 septembre 1942, suivant la demande du conseil municipal du Mazeau exprimée le 30 août, le préfet de la Vendée autorise ce transfert destiné à faciliter les échanges entre les deux rives du fleuve au niveau du Village de la Sèvre qui n'a cessé de se développer depuis un demi-siècle. La commune du Vanneau-Irleau est chargée de l'opération, avec participation financière de celle du Mazeau qui, pour cela, met en vente un lot de peupliers coupés sur son marais communal. Le transfert a lieu en octobre, avant le début de la saison des inondations, et sous la surveillance du service des Ponts et Chaussées des Deux-Sèvres. Lors de sa reconstruction, la passerelle est légèrement modifiée, avec notamment la création de rampes d'accès.A partir des années 1960, l'insuffisance de la passerelle, limitée aux piétons, pour assurer la traversée d'une rive à l'autre de la Sèvre, est de plus en plus pointée du doigt. Un syndicat intercommunal est même constitué pour demander la construction d'un véritable pont routier. En 1972, on envisage d'établir un pont de type Bailey, comme celui qui dessert l'île de Charouin, à Vix. En 1978, c'est le grand pont de Damvix que l'on envisage de transférer au Village de la Sèvre alors qu'il est prévu de le désaffecter et de le remplacer.Après des décennies de discussions, décision est finalement prise dans les années 2000 de restaurer à l'identique la passerelle, vétuste et dangereuse. Alors que le tourisme se développe dans le Marais et que la qualité de son environnement est une priorité, on préfère ainsi faciliter les déplacements piétons ou à vélo d'une rive à l'autre de la Sèvre. Le Parc naturel interrégional du Marais poitevin est chargé de piloter l'opération, confiée à Jean-Marc Weill, architecte à Paris. Les travaux commencent en mai 2007, réalisés principalement par l'entreprise AB Construction, de Paris, spécialisée en charpente métallique. La passerelle est alors reconstruite quasiment à l'identique. Tout en conservant et restaurant le tablier et les garde-corps, on construit trois nouvelles piles ainsi que de nouvelles rampes, le tout en respectant l'esprit architectural de l'ouvrage.	La passerelle est construite en métal. Accessible par deux rampes inclinées, le tablier central, équipé de garde-corps en croisillons et d'un plancher en bois, est soutenu par trois piles également en métal.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée	2e quart 20e siècle	1er quart 21e siècle	
IA85003051	Passerelle de halage, les Vergnaies	passerelle	3e quart 19e siècle	Damvix	Vendée	85078	85	-0.7377304843854489	46.31376191687318	Damvix : présentation de la commune			La passerelle a dû être construite dans la seconde moitié du 19e siècle. Son architecture est proche d'autres situées aux environs, par exemple celle près du pont de l'Ouillette, construite en 1869.	La passerelle se situe sur la rive gauche de la Sèvre Niortaise. Elle permet au chemin de halage de franchir la conche de la Baronnerie qui commence là. L'ouvrage est constitué d'une seule travée entre deux piles maçonnées en pierre de taille. Le tablier, en bois (disparu), est soutenu par des poutrelles et deux arcs en métal, avec garde-corps également en métal.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée			
IA85003050	Pont de Damvix	pont	4e quart 19e siècle	Damvix	Vendée	85078	85	-0.7337417651690128	46.313699986956145	Damvix : présentation de la commune			Le pont n'existe pas encore sur le plan cadastral de 1835. Sa construction est rendue nécessaire par celle, dans les années 1860-1870, de la route de Damvix à Arçais, sur la rive gauche de la Sèvre Niortaise. Le 4 janvier 1872, le conseil municipal de Damvix demande justement que cette route, inachevée du côté d'Arçais, soit terminée et émet le souhait d'un pont franchissant la Sèvre, dans la continuité de ladite route. En 1880, la construction de la portion inachevée de la route est enfin en cours, ce qui rend celle du pont encore plus d'actualité. Le 10 août, le conseil municipal examine le devis présenté par l'agent voyer d'arrondissement, d'un montant de 130 000 francs. Après avoir décidé d'en financer 39 000, la commune sollicite l'aide du Conseil général et de l'Etat. Le dossier est de nouveau mis sur le devant de la scène par la commune en 1881 et 1882. Le 12 novembre 1882, le conseil municipal adopte le projet de pont. L'expropriation des propriétaires des parcelles concernées est évoquée en 1883, mais il en est encore question en 1885. Le 26 mars 1886 enfin, l'achèvement de la route d'Arçais décrété d'utilité publique, ce qui renforce le projet de pont. Celui-ci voit le jour peu après. Il est terminé en 1888, date à laquelle il est intégré dans le réaménagement du port de Damvix. Le pont métallique, trop étroit, sera démoli en février 1979. Il fera place aussitôt au pont actuel.	Le pont franchit la Sèvre Niortaise au niveau du grand port de Damvix. D'une seule travée, il est construit en béton, avec garde-corps en métal. Sa culée nord, rive droite, est percée d'un passage piéton et se prolonge par une longue rampe d'accès, vestige de l'ancien pont.Celui-ci, démoli en 1979, était un ouvrage d'une seule travée en métal, à croisillons, reposant sur chaque rive sur une culée en maçonnerie, couverte d'un parement en moellons équarris. Chaque culée se prolongeait, comme aujourd'hui, par une rampe d'accès. Celle de la rive nord était plus longue et, maçonnée, avançait en direction du bourg, comme aujourd'hui. Le chemin de halage passait déjà au-dessous.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée	4e quart 20e siècle		
IA85003013	Pont de la Petite Bernegoue	pont	3e quart 19e siècle	Damvix	Vendée	85078	85	-0.7512877342628372	46.334788043167855	Damvix : présentation de la commune		Eugène Espitallier	Dès 1838, alors que le canal de la Vieille Autise est en cours de creusement, les communes de Maillé, Maillezais et Damvix demandent à l'Etat et au Syndicat des marais de la Vieille Autise d'envisager un pont sur l'ouvrage de manière à relier Damvix et les terres hautes de Maillé et Maillezais. L'objectif est de permettre les échanges économiques et commerciaux de part et d'autre du nouveau canal. Le 26 mai, un projet de pont en bois est présenté. Il comprendra cinq travées soutenues par des rangées de pieux, le tout en chêne provenant du Gros Noyer, à Fontenay-le-Comte. L'ouvrage, réalisé par M. Mansaus, entrepreneur, est réceptionné le 30 août 1842, quelques mois après l'achèvement du canal.Mais dix ans plus tard, la construction de la route départementale dite de Vix à Lesson (actuelle D25), qui doit franchir le pont, nécessite de l'élargir et de le renforcer. Suivant le projet présenté le 17 mars 1855 par l'agent voyer de l'arrondissement de Fontenay-le-Comte, M. Fourier, le nouveau pont comprendrait une seule travée avec un tablier droit en bois, entre deux culées en maçonnerie. Finalement, on préfère le reconstruire à l'identique, en bois de chêne, opération achevée en février 1856.Un troisième pont, celui toujours en place aujourd'hui, est édifié en 1872. Le projet en est présenté le 25 août 1871 par l'ingénieur des Ponts et Chaussées Espitallier. Il s'agit d'élargir et renforcer l'ouvrage, cette fois entièrement en pierre. On prendra soin de laisser la hauteur et la largeur suffisantes sous le pont pour le passage de l'eau, tout en abaissant son radier à 3,60 mètres au lieu des 4 mètres requis, tel qu'on l'a déjà pratiqué par exemple au pont de pierre de Marans. Les batardeaux nécessaires à la mise en place du chantier sont posés le 20 juin 1872. On préfère les établir en planches de bois plutôt qu'en terre de manière à les retirer rapidement si nécessaire : l'année est en effet particulièrement pluvieuse et a été marquée par de graves inondations.	Le pont est situé à l'ouest du hameau de la Petite Bernegoue. Il permet à la route départementale D25 de franchir le canal de la Vieille Autise. Le pont est construit en pierre de taille. Son arche unique est en arc segmentaire, avec claveaux réguliers et sommiers saillants. Un bandeau souligne le parapet.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée			
IA85002923	Pont des Loges	pont	3e quart 20e siècle	Damvix	Vendée	85078	85	-0.7482198074659087	46.31871244180189	Damvix : présentation de la commune			Comme le montrent les vues aériennes de l'IGN, le pont a été construit entre 1958 et 1964. Il a été créé dans le cadre des travaux d'amélioration de l'aménagement des marais et de leur desserte, entrepris dans les années 1950-1960.	Le pont franchit la Vieille Sèvre au niveau du hameau des Loges. Long d'environ 23 mètres et large d'environ 4,5, il est construit en béton armé, avec garde-corps en tuyaux de fonte. Il comprend trois travées séparées par des piles ajourées, formées d'éléments triangulaires assemblés. La travée centrale est droite, les deux autres sont inclinées.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée			
IA85002857	Pont, les Lavaudries, route D104	pont	3e quart 19e siècle	Damvix	Vendée	85078	85	-0.7244112932700355	46.30974851163501	Damvix : présentation de la commune	parement	Veuve Taza-Villain	Le pont a été construit dans le cadre de l'achèvement de la route de Damvix à Arçais, dans les années 1880. Il en est question lors du conseil municipal du 15 mars 1885, puis le 16 février 1886. Au cours de cette séance, le devis, d'un montant de 7000 francs, est examiné. Faute de ressources suffisantes, la commune refuse d'y participer, et envisage même de faire combler la conche franchie ! Le 8 juillet 1886, le conseil municipal revoit sa position et adopte le projet de pont... qui a sans doute déjà été construit : la date 1885 ainsi que la marque du fondeur, l'entreprise de la veuve Taza-Villain, à Anzin dans le Nord, sont en effet inscrites sur la poutre du tablier côté sud.	Le pont permet à la route D104 qui relie Damvix et Arçais, parallèlement à la Sèvre Niortaise, de franchir un cours d'eau appelé le Longet d'Oulmes. Le pont a conservé sa structure d'origine : deux culées en maçonnerie de moellons avec parement en pierre de taille ; un tablier droit constitué de deux poutres en fonte et de voutains en brique ; des parapets en pierre de taille reliés par des garde-corps en ferronnerie.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée	4e quart 19e siècle		
IA85002764	Pont, rue des Petites Cabanes	pont	4e quart 19e siècle	Damvix	Vendée	85078	85	-0.7325716825707137	46.31362895926817	Damvix : présentation de la commune			La création d'une passerelle de halage, qui n'existe pas sur le plan cadastral de 1835, est comprise dans le projet d'aménagement du port de Damvix présenté le 28 avril 1857 par l'ingénieur Joseph Maire. Le pont actuel a toutefois dû être construit un peu plus tard, au moment du développement du quartier des Cabanes. En février 1888, les habitants de celui-ci, en pleine expansion, acceptent de céder à la commune de Damvix le chemin de halage qui passe devant leurs maisons et fermes, à condition qu'un pont soit construit pour franchir la conche des OIsillers et ainsi desservir leur nouveau quartier.	Le pont relie le grand port d'une part, le quartier des Petites Cabanes et le chemin de halage de la rive droite de la Sèvre Niortaise d'autre part. Il franchit la route ou bief des Oisiliers, cours d'eau qui longe la partie est du bourg et vient se jeter ici dans la Sèvre Niortaise. Le pont est constitué de deux culées en maçonnerie et d'un tablier droit, avec garde-corps en métal. Le tablier est lui-même constitué de deux poutres en métal entre lesquels se succèdent des voûtins en brique.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée			
IA85002736	Passerelle	passerelle	1er quart 20e siècle	Maillé	Vendée	85132	85	-0.7954050958541231	46.34077311427569				Une première passerelle a dû être construite dans les années 1860-1880, au moment de l'aménagement du grand port de Maillé. Cet ouvrage était alors placé dans l'axe de la rive du chenal du port, comme le montre le plan de reconstruction présenté le 13 février 1905 par le conducteur des Ponts et Chaussées Texier. Suivant son projet, les éléments métalliques de la passerelle seront acheminés en bateau depuis Marans, puis montés sur site et placés sur les culées construites en moellons de Maillé.	La passerelle enjambe l'embouchure de la Jeune Autise, là où elle se jette dans la Sèvre Niortaise et le chenal du port de Maillé. Entre deux culées en pierre de taille, sa travée unique est composée d'un tablier en bois sur une charpente en métal, sous des garde-corps également métalliques.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée			
IA85002731	Pont de la Pichonnière	pont	milieu 19e siècle	Maillé	Vendée	85132	85	-0.7813881427894058	46.331562651981145				Le pont a dû être construit au moment de l'aménagement de la route de la Pichonnière au milieu du XIXe siècle.	Le pont permet à la route départementale 15 de franchir le canal de Bourneau. Construit en pierre de taille, long de 36 mètres, il comprend trois travées en arc segmentaire, la travée centrale étant plus large que les deux autres. Les parapets, soulignés par une corniche, sont en pierre de taille.		Yannis Suire	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de la Vendée			
