"identifiant"	"nom"	"localisation"
"PA00109879"	"Pont dit romain ou roman"	"Sarthe (72) ; Maresché"
"PA00109884"	"Pont sur l'Huisne"	"Sarthe (72) ; Montfort-le-Gesnois"
"PA00109643"	"Pont muletier du moulin Fresnay (également sur"	"Mayenne (53) ; Beau-"
"PA00109671"	"Pont muletier du moulin Fresnay (également sur"	"Sarthe (72) ; Auvers-le-Hamon"
"PA00109686"	"Pont (ancien)"	"Sarthe (72) ; Beaumont-sur-Sarthe"
"PA00110079"	"Deux ponts du Port-la-Claye sur la rivière Le Lay"	"Vendée (85) ; La Claye"
"PA00110086"	"Deux ponts du Port-la-Claye sur la rivière Le Lay"	"Vendée (85) ; Curzon"
"PA00110093"	"Pont de Fleuriau sur la Vendée (également sur com-"	"Vendée (85) ; Faymoreau ; C.V. 4"
"PA00110151"	"Deux ponts du Port-La-Claye sur la rivière Le Lay"	"Vendée (85) ; Lairoux"
"PA00110168"	"Pont des Ouillères (vieux)"	"Vendée (85) ; Mervent"
"PA00110207"	"Pont de Fleuriau sur la Vendée (également sur com-"	"Vendée (85) ; Puy-de-Serre ; C.V. 4"
"PA00110218"	"Pont sur La Boulogne sur le C.D. 7"	"Vendée (85) ; Rocheservière"
"PA00110229"	"Deux ponts du Port-La-Claye sur la rivière Le Lay"	"Vendée (85) ; Saint-Cyr-en-Talmondais"
"PA00110234"	"Pont de Boisseau sur la R.N. 137"	"Vendée (85) ; Saint-Georges-de-Mon-"
"PA00110247"	"Pont de Sénard sur la Maine"	"Vendée (85) ; Saint-Hilaire-de-Loulay ;"
"PA00110289"	"Pont (vieux)"	"Vendée (85) ; Vouvant"
"PA00109210"	"Pont de Bohardy sur l'Evre"	"Maine-et-Loire (49) ; Montrevault"
"PA00108650"	"Pont dit Pont Romain"	"Loire-Atlantique (44) ; Mouzillon"
"PA00108592"	"Pont sur le Moine dit Pont Saint-Antoine"	"Loire-Atlantique (44) ; Clisson"
"IA49001526"	"Pont de Beaulieu"	"Maine-et-Loire (49) ; Candé ; rue de"
"IA49001529"	"Pont de Beaulieu"	"Maine-et-Loire (49) ; Candé ; rue du"
"IA49001555"	"Pont du Moulin-Foulon"	"Maine-et-Loire (49) ; Freigné"
"IA49001556"	"Pont dit l'Arche Saint-Denis"	"Maine-et-Loire (49) ; Candé ; rue"
"IA49001595"	"Pont"	"Maine-et-Loire (49) ; Freigné"
"IA53000401"	"Pont de chemin de fer, dit viaduc"	"Mayenne (53) ; Laval"
"IA53000402"	"Pont d'Avénières"	"Mayenne (53) ; Laval"
"IA49002140"	"Pont"	"Maine-et-Loire (49) ; Nyoiseau"
"IA49001400"	"Pont de chemin de fer"	"Maine-et-Loire (49) ; Sainte-Gem-"
"IA00058555"	"Pont de chemin de fer"	"Sarthe (72) ; Sablé-sur-Sarthe"
"IA00058557"	"Pont"	"Sarthe (72) ; Sablé-sur-Sarthe ; rue"
"IA00058558"	"Pont dit le Grand Pont"	"Sarthe (72) ; Sablé-sur-Sarthe ; grande"
"IA00058559"	"Pont"	"Sarthe (72) ; Sablé-sur-Sarthe ; rue"
"IA00058560"	"Pont de chemin de fer"	"Sarthe (72) ; Sablé-sur-Sarthe"
"IA00058129"	"Pont"	"Sarthe (72) ; Auvers-le-Hamon"
"IA00058275"	"Pont"	"Sarthe (72) ; Parcé-sur-Sarthe ; C.D. 309"
"IA00058077"	"Pont dit le Vieux Pont"	"Sarthe (72) ; Asnières-sur-Vègre ; C.R. 4"
"IA49002028"	"Pont"	"Maine-et-Loire (49) ; Armaillé"
"IA00053961"	"Pont"	"Maine-et-Loire (49) ; Montreuil-Bellay"
"IA00053962"	"Pont dit le Vieux Pont"	"Maine-et-Loire (49) ; Montreuil-Bellay"
"IA00053774"	"Pont"	"Maine-et-Loire (49) ; Saint-Just-sur-Dive"
"IA00032430"	"Pont des Fées"	"Maine-et-Loire (49) ; Baugé ; rue du Pont"
"IA00032988"	"Pont"	"Maine-et-Loire (49) ; Concour-"
"IA00033031"	"Pont"	"Maine-et-Loire (49) ; Brigné"
"IA00033265"	"Pont"	"Maine-et-Loire (49) ; Martigné-Briand"
"IA00034429"	"Pont"	"Mayenne (53) ;"
"IA00034063"	"Pont"	"Mayenne (53) ; La Chapelle-Rainsouin"
"IA00034084"	"Pont"	"Mayenne (53) ; Deux-Evailles"
"IA00034304"	"Pont"	"Mayenne (53) ; Evron"
"IA00033639"	"Pont"	"Maine-et-Loire (49) ;"
"IA00033640"	"Pont"	"Maine-et-Loire (49) ;"
"IA00033854"	"Pont"	"Maine-et-Loire (49) ; Longué-Jumelles"
"IA00033972"	"Pont"	"Maine-et-Loire (49) ; Vernantes"
"IA00031772"	"Pont Fouchard"	"Maine-et-Loire (49) ; Saumur"
"IA00031548"	"Pont des Sept Voies"	"Maine-et-Loire (49) ; Saumur"
"IA00032958"	"Pont"	"Maine-et-Loire (49) ; Le Vieil-Baugé"
"IA53000573"	"Pont dit Pont Neuf puis Vieux Pont, actuellement"	"Mayenne (53) ; Mayenne"
"IA53000574"	"Pont de l'Impératrice, actuellement pont"	"Mayenne (53) ; Mayenne"
"IA53000575"	"Viaduc de chemin de fer de Mayenne"	"Mayenne (53) ; Mayenne"
"IA53000576"	"Pont de Saint-Baudelle"	"Mayenne (53) ; Saint-Baudelle"
"IA53000577"	"Pont de Montgiroux"	"Mayenne (53) ; Alexain"
"IA53000578"	"Pont de Rochefort ou de Montflours"	"Mayenne (53) ; Andouillé"
"IA53000579"	"Pont de Saint-Jean-sur-Mayenne"	"Mayenne (53) ; Saint-Jean-sur-Mayenne"
"IA53000580"	"Pont de Changé"	"Mayenne (53) ; Changé"
"IA53000582"	"Pont de Port Rhingeard"	"Mayenne (53) ; L'Huisserie"
"IA53000583"	"Pont de la Valette"	"Mayenne (53) ; Houssay"
"IA53000585"	"Vieux pont de Château-Gontier"	"Mayenne (53) ; Château-Gontier"
"IA53000586"	"Pont de chemin de fer"	"Mayenne (53) ; Saint-Fort"
"IA53000587"	"Pont de Daon"	"Mayenne (53) ; Daon"
"IA53000591"	"Ponts"	"Mayenne (53)"
"IA53000592"	"Pont de Pritz"	"Mayenne (53) ; Laval"
"IA49001429"	"Pont"	"Maine-et-Loire (49) ; Le Lion-d'Angers"
"IA49007113"	"L'urbanisme"	"Maine-et-Loire (49) ; Angers"
"IA53000624"	"Pont de l'Europe"	"Mayenne (53) ; Laval"
"IA49009764"	"Pont ; maison de garde"	"Maine-et-Loire (49) ; Chambellay ; quai"
"IA53000399"	"Pont dit Vieux-Pont"	"Mayenne (53) ; Laval"
"IA53000400"	"Pont dit Pont Neuf, dit Pont Aristide Briand"	"Mayenne (53) ; Laval"
"IA85000481"	"Pont dit Pont-Neuf"	"Vendée (85) ; Fontenay-le-Comte"
"IA85000482"	"Pont des Sardines (ancien pont)"	"Vendée (85) ; Fontenay-le-Comte"
"IA85000483"	"Pont des Sardines (pont actuel)"	"Vendée (85) ; Fontenay-le-Comte"
"IA49000649"	"Pont des Rosiers"	"Maine-et-Loire (49) ; Les"
"IA49000843"	"Pont de la Tannerie ou Petit pont"	"Maine-et-Loire (49) ; Angers ; rue Beau-"
"IA72000108"	"Pont des carmes"	"Sarthe (72) ; La Flèche"
"IA72000109"	"Pont de la Boierie"	"Sarthe (72) ; La Flèche"
"IA49001370"	"Pont de chemin de fer"	"Maine-et-Loire (49) ; Segré"
"IA49001373"	"Pont"	"Maine-et-Loire (49) ; Segré"
"IA49000840"	"Pont de la Basse-Chaîne"	"Maine-et-Loire (49) ; Angers"
"IA49000841"	"Pont de la Haute-Chaîne"	"Maine-et-Loire (49) ; Angers"
"IA49000842"	"Grand pont, puis pont du Centre, puis pont de Ver-"	"Maine-et-Loire (49) ; Angers"
"IA49000844"	"Barrage dit Chaussée des Treilles, puis pont dit pont"	"Maine-et-Loire (49) ; Angers"
"IA53001822"	"Pont de Sainte-Tresme"	"Mayenne (53) ; Forcé"
"IA53001963"	"Pont sur les Roches"	"Mayenne (53) ; Louvigné ; R. D. 103"
"IA49008644"	"Pont dit Vieux Pont du Gué-Robert"	"Maine-et-Loire (49) ; Valanjou"
"IA49002815"	"Pont des Magasins"	"Maine-et-Loire (49) ; Juigné-sur-Loire"
"IA49004331"	"Pont de la Sanguèze"	"Maine-et-Loire (49) ; Gesté"
"IA49008911"	"Pont des Portes"	"Maine-et-Loire (49) ; Andrezé ; sur le"
"IA49008912"	"Pont du Moulin-Prieur"	"Maine-et-Loire (49) ; Andrezé ; sur le"
"IA49003908"	"Pont Thurinet"	"Maine-et-Loire (49) ; Landemont"
"IA49004109"	"Pont"	"Maine-et-Loire (49) ; Cholet ; , Cordeliers"
"IA49003904"	"Pont de la Roussière"	"Maine-et-Loire (49) ; La Séguinière"
"IA49003925"	"Viaduc"	"Maine-et-Loire (49) ; Maulévrier"
"IA49009107"	"Pont"	"Maine-et-Loire (49) ; Durtal"
